Region,Birth Rate,Year
Peloponnese,4783,1999
Peloponnese,5035,2000
Peloponnese,4875,2001
Peloponnese,4785,2002
Peloponnese,4945,2003
Peloponnese,4979,2004
Peloponnese,5120,2005
Peloponnese,5356,2006
Peloponnese,5331,2007
Peloponnese,5614,2008
Peloponnese,5655,2009
Peloponnese,5607,2010
Peloponnese,4999,2011
Peloponnese,4828,2012
Peloponnese,4433,2013
Peloponnese,4407,2014
Peloponnese,4320,2015
Peloponnese,4385,2016
Peloponnese,4239,2017
Peloponnese,4056,2018
Peloponnese,3926,2019
Peloponnese,4005,2020
Peloponnese,4060,2021
Peloponnese,3661,2022
East Macedonia and Thrace,5809,1999
East Macedonia and Thrace,5847,2000
East Macedonia and Thrace,5797,2001
East Macedonia and Thrace,5796,2002
East Macedonia and Thrace,5725,2003
East Macedonia and Thrace,5774,2004
East Macedonia and Thrace,6038,2005
East Macedonia and Thrace,6208,2006
East Macedonia and Thrace,6108,2007
East Macedonia and Thrace,6326,2008
East Macedonia and Thrace,6442,2009
East Macedonia and Thrace,6267,2010
East Macedonia and Thrace,5804,2011
East Macedonia and Thrace,5325,2012
East Macedonia and Thrace,5103,2013
East Macedonia and Thrace,4853,2014
East Macedonia and Thrace,4950,2015
East Macedonia and Thrace,4868,2016
East Macedonia and Thrace,4780,2017
East Macedonia and Thrace,4381,2018
East Macedonia and Thrace,4217,2019
East Macedonia and Thrace,4255,2020
East Macedonia and Thrace,4350,2021
East Macedonia and Thrace,3865,2022
Central Macedonia,18104,1999
Central Macedonia,18598,2000
Central Macedonia,18383,2001
Central Macedonia,18831,2002
Central Macedonia,18288,2003
Central Macedonia,18549,2004
Central Macedonia,19038,2005
Central Macedonia,19781,2006
Central Macedonia,19895,2007
Central Macedonia,20972,2008
Central Macedonia,20875,2009
Central Macedonia,19968,2010
Central Macedonia,18500,2011
Central Macedonia,17193,2012
Central Macedonia,16138,2013
Central Macedonia,15300,2014
Central Macedonia,15399,2015
Central Macedonia,15595,2016
Central Macedonia,14423,2017
Central Macedonia,14023,2018
Central Macedonia,13576,2019
Central Macedonia,13558,2020
Central Macedonia,13536,2021
Central Macedonia,12298,2022
West Macedonia,2840,1999
West Macedonia,2857,2000
West Macedonia,2628,2001
West Macedonia,2649,2002
West Macedonia,2660,2003
West Macedonia,2560,2004
West Macedonia,2568,2005
West Macedonia,2636,2006
West Macedonia,2622,2007
West Macedonia,2696,2008
West Macedonia,2705,2009
West Macedonia,2662,2010
West Macedonia,2357,2011
West Macedonia,2321,2012
West Macedonia,2151,2013
West Macedonia,2139,2014
West Macedonia,2077,2015
West Macedonia,1995,2016
West Macedonia,1986,2017
West Macedonia,1820,2018
West Macedonia,1762,2019
West Macedonia,1808,2020
West Macedonia,1672,2021
West Macedonia,1427,2022
Epirus,2653,1999
Epirus,2576,2000
Epirus,2547,2001
Epirus,2578,2002
Epirus,2493,2003
Epirus,2745,2004
Epirus,2819,2005
Epirus,3005,2006
Epirus,2905,2007
Epirus,3152,2008
Epirus,3216,2009
Epirus,3215,2010
Epirus,2968,2011
Epirus,2718,2012
Epirus,2644,2013
Epirus,2514,2014
Epirus,2489,2015
Epirus,2466,2016
Epirus,2337,2017
Epirus,2222,2018
Epirus,2219,2019
Epirus,2202,2020
